,2024/08/01,2024/08/02,2024/08/03,2024/08/04,2024/08/05,,2024/08/20,2024/08/21,2024/08/22,2024/08/23
L-Long,"a,d,c","e,f,g","h,i","b,c,d,e","h,i,j",L-Long,"b,c,d,e","h,i,j","a,d,c","e,f,g"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
L-Short,d,,"j,a","f,g","a,b",L-Short,"f,g",,"a,b",d
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Plus,"e,f","h,i","b,c","j,a","c,d",,"j,a","c,d","e,f","h,i"
H,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,2024/08/07,2024/08/08,2024/08/09,2024/08/10,2024/08/11,,2024/08/25,2024/08/26,2024/08/27,2024/08/28
M-Eary,,,,,,M-Eary,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
M-Eary-Plus,,,,,,M-Eary-Plus,,,,
M-Late,,,,,,M-Late,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
M-Late-Plus,,,,,,M-Late-Plus,,,,
H,,,,,,H,,,,
,,,,,,,,,,
,2024/08/13,2024/08/14,2024/08/15,2024/08/16,2024/08/17,,2024/08/30,2024/08/31,,
N-Eary,"a,b,c","h,i","a,b",,,N-Eary,"j,d,e","a,b,c",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
N-Rary-Plus,,,,,,N-Rary-Plus,,,,
N-Late,"d,e,f","j,d,e",,,,N-Late,"h,i","f,g",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
N-Late-Plus,,,,,,N-Late-Plus,,,,
H,,,,,,H,,,,
